feature	Bacteroides.caccae	Bacteroides.cellulosilyticus	Bacteroides.dorei	Bacteroides.eggerthii	Bacteroides.fragilis	Bacteroides.massiliensis	Bacteroides.ovatus	Bacteroides.stercoris	Bacteroides.thetaiotaomicron	Bacteroides.uniformis	Bacteroides.vulgatus	Parabacteroides.merdae	Prevotella.copri	Alistipes.putredinis	Eubacterium.rectale	Eubacterium.siraeum	Roseburia.intestinalis	Faecalibacterium.prausnitzii	Subdoligranulum.unclassified	Escherichia.coli	Akkermansia.muciniphila
MSMA26BR	0.0194903	0.0329182	0.0001306	0	0	0	0.0323147	0	0.0155975	0.0564755	0.118402	0.0367238	0	0.090084	0.124674	0	0.0093801	0.196305	0.0667296	0	0.0447275
MSMA26BT	0.026978	0.0484838	9.9e-06	0	0	0	0.0642371	0	0.0275627	0.0533306	0.19114	0.10361	0	0.0778562	0.041221	0.0025708	0.0068569	0.143664	0.0344383	0	0.0003023
MSMA26BV	0.0084009	0.0489422	0	0	0	0	0.0049363	0	0.0041601	0.0305056	0.070448	0.0192911	0	0.0601845	0.217747	0	0.0056966	0.296943	0.0775853	0	0.0294401
MSMA26BX	0.015931	0.0511548	6.57e-05	0	0	0	0.0117523	0	0.0053168	0.0938562	0.15722	0.0834494	0	0.107964	0.0600156	3.77e-05	0.0253186	0.10271	0.0674125	0	0.0585704
MSMA26CV	0	0.0626816	0.0215857	0	0.0959073	6.6e-06	0.0384632	0	0	0.377592	0.004836	0	0	0.0872504	0.0247918	0.001725	0.0008531	0.122331	0.082601	0	0
MSMA26CX	0	0.0308264	0.0195648	0	0.106916	3.88e-05	0.0351074	0	0	0.499355	0.0047495	0	0	0.069072	0.0300225	0.0021026	0.0036063	0.0401965	0.065153	9.55e-05	0
MSMA26DG	0.0084887	0	0.0084734	0	0	0	0.0022418	0.0897274	0.0063732	0.109003	0.0579284	0.0081363	0	0.0677035	0.0116089	0	0	0.47759	0.0058576	0	0
MSMA26DI	0.0089955	0	0.0223336	0	0	0	0.0032551	0.0903784	0.0080213	0.115985	0.0236511	0.0125563	0	0.0229009	0.161471	4.74e-05	0	0.296697	0.0088816	0	0
MSMA26DK	0.0192378	0	0.0292056	0	0	9.5e-06	0.0141585	0.126626	0.0140337	0.181377	0.029512	0.0518161	0	0.0486639	0.0318565	0.00037	0	0.170183	0.0126015	0	0
MSMA26DM	0.0218981	0	0.0165249	0	0	1.01e-05	0.0081699	0.18522	0.0080269	0.130534	0.0542271	0.0527009	0	0.0353055	0.0865991	0.0003233	0.0672327	0.120628	0.0091086	0.0004626	0
MSMA26DO	0.0120411	0	0.0498597	0	0	0	0.0119309	0.0719517	0.0062353	0.104143	0.0674538	0.0166783	0	0.0093909	0.214626	0	0	0.196129	0.0073371	0	0
MSMA26EJ	0	0	1.27e-05	0	0	0	0	0	0	0	5.68e-05	0	0	0	1.26e-05	0	0.3613	0.246159	0.0003203	0	0
MSMA26EL	0	0	0	0	0	0	0	0	0	0.0012772	0.0025424	0	0	0.0004464	0.0011937	0	0.15384	0.34476	0.0011906	0.0017493	2e-05
MSMA26EN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0073132	0	0.0556746	0.566707	0.000212	0.0008099	0
MSMA26ER	0.0084684	0	0.0104509	0.0086931	0	0.0224088	0.0010812	0.0025321	0.0041602	0.0142011	0.005613	0.0042748	6.22e-05	0	0.0105378	0.0156488	0.0004592	0.0118106	0.0230286	0.05294	0.0002682
MSMA26ET	0.0306422	0	0.0090653	0.0063705	0	0.0120929	0.0076519	0.0022967	0.0029567	0.0099132	0.0038783	0.0096942	0	0.0008415	0.0035961	0.0001261	0.0002025	0.0330981	0.009222	0.513096	0
MSMA26EZ	0.0123009	0	0.0128606	0.0067068	0	0.0188318	0.0061584	0.0072423	0.0077812	0.026299	0.0045861	0.0069542	0	0.0001187	0.242092	0.0004502	0.0005175	0.213316	0.0390955	0.041836	0
MSMAPC55	0.016902	0	0.0352433	0.187018	0.002184	3.9e-06	0.032792	2.75e-05	0.0143969	0.0288714	0.017662	0.0270791	0	0.0567599	0.201177	0.016371	0.0111653	0.0422018	0.0396821	0.0002576	0.0261078
MSMAPC57	0	0	0	0	0.023834	0	0	0	0.0012349	0	0.260968	0	0	0	0	0	0.476987	0.0626748	0.0005444	0.0008921	0
MSMAPC59	0	0	0.0001638	0	0.0830353	0	0	0	0.0016129	0.000329	0.164655	0	0	0	0	0	0.315222	0.156903	0.0007257	0.0054259	0
MSMAPC5B	0	0	0.0001165	0	0.122029	0	0	0	0.0032818	0	0.0989223	0	0	0	0	0	0.515919	0.0798933	0.0013443	0.0009717	0
MSMAPC5D	0	0	0.0001137	0	0.0237162	0	0	0	0.0034034	0	0.286052	0	0	0	0	0	0.311033	0.113109	0.0011768	0	0
MSMAPC5H	0.0236303	0	0.129191	0	0	6.3e-06	0.0314066	0.0623554	0.0391037	0.229161	0.0514849	0.0453242	0	0.0733666	0.0192941	0	0	0.0788095	0.0102327	0	0
MSMAPC5L	0.0372696	0	0.168577	0	0	0	0.0098242	0.101632	0.0219046	0.170973	0.05004	0.0215462	0	0.0414832	0.0095638	0	0.0088209	0.122079	0.0151162	0	0
MSMAPC5Z	0.231851	0.0006819	0.023139	0	0	0.0275874	0.0710356	0.029702	0.0215511	0.010902	0.0106521	0.0130228	0	0.0191049	0	0.0063159	0.0008083	0.0829422	0.163053	0.0239208	0
