feature	Bacteroides.caccae	Bacteroides.cellulosilyticus	Bacteroides.dorei	Bacteroides.eggerthii	Bacteroides.fragilis	Bacteroides.massiliensis	Bacteroides.ovatus	Bacteroides.stercoris	Bacteroides.thetaiotaomicron	Bacteroides.uniformis	Bacteroides.vulgatus	Parabacteroides.merdae	Prevotella.copri	Alistipes.putredinis	Eubacterium.rectale	Eubacterium.siraeum	Roseburia.intestinalis	Faecalibacterium.prausnitzii	Subdoligranulum.unclassified	Escherichia.coli	Akkermansia.muciniphila
CSM7KOOD	-4.28424148224278	-18.2834338608467	-10.6360485494822	-18.782078740052	-19.4380342458813	-19.2776077026074	-2.61915344343064	-8.99650676995289	-19.1569825732931	-10.4388983923718	-2.68159933436314	-2.53915506934294	-19.6661795210308	-17.8961542934108	-3.87422737180198	-2.99182256116625	-18.4096126936759	-2.27503497392398	-6.43843068916459	-15.876377910962	-4.55119875042478
CSM7KOOF	-4.73261743020051	-18.2834338608467	-14.9768701923025	-13.7086991422821	-19.4380342458813	-19.2776077026074	-2.55845765723836	-19.9786304014895	-11.2946816789314	-12.0145480356836	-3.71915446828016	-3.31518219214865	-19.6661795210308	-17.8961542934108	-6.32206701913323	-4.37072785971441	-10.064936182986	-1.16195892725669	-5.97809869006982	-15.876377910962	-3.45885621780403
CSM7KOOH	-4.96581007658672	-1.93797185846592	-8.65054299340913	-18.782078740052	-6.03350864515123	-2.31645025192573	-6.75675185126885	-19.9786304014895	-5.58631243066286	-3.99071206851494	-4.60843008684597	-17.9620589036327	-19.6661795210308	-3.63753038072875	-11.1949845258676	-6.38341514732599	-7.10105798634596	-4.06568940684238	-3.22716005494392	-15.876377910962	-3.50643748832929
CSM7KOOJ	-4.20340883264635	-2.33427615488299	-14.4013381596493	-18.782078740052	-6.16261999401198	-2.6253240025024	-6.13437951098627	-16.167630425085	-5.204385972297	-3.6434385475932	-3.88891133719184	-17.9620589036327	-19.6661795210308	-3.89941218821057	-4.46804635319833	-6.24513893462644	-4.82565996166577	-3.41819866600539	-3.79984517953958	-15.876377910962	-4.14657920119227
CSM7KOOL	-4.01761070575899	-4.20916301025887	-12.3083324872462	-18.782078740052	-5.67280539723941	-2.46744409564323	-4.75857345347646	-14.5104904248426	-6.90359295361754	-3.46557313874734	-2.44897444020517	-17.9620589036327	-19.6661795210308	-3.66657374641016	-7.42066560690079	-6.23646761780188	-4.61869403120912	-3.02273154986568	-3.62464750144646	-15.876377910962	-5.51231252539121
CSM7KOON	-4.70882594857195	-3.34271811846115	-19.4037146125444	-18.782078740052	-7.48545229183496	-3.71758110315945	-5.79021540915567	-13.8966813233146	-4.76333396756219	-3.13085165888996	-3.09704574059692	-17.9620589036327	-19.6661795210308	-3.75251986837295	-3.48238394468196	-6.8558863758061	-6.6533806169343	-3.46248915042279	-2.46334975415879	-15.876377910962	-4.59661155010547
CSM7KOOP	-5.43292726234233	-3.94796714709028	-19.4037146125444	-18.782078740052	-7.33858541841448	-3.93188056857083	-6.32284562623746	-19.9786304014895	-5.74504716968931	-2.97751372215153	-2.85421080946116	-17.9620589036327	-19.6661795210308	-4.23600382643094	-3.94503259216887	-5.99610703518353	-4.38528497533827	-3.01944991624641	-2.92643622111429	-15.876377910962	-3.21647309830793
CSM7KOOT	-2.84367994690374	-18.2834338608467	-2.87309180589521	-18.782078740052	-19.4380342458813	-19.2776077026074	-0.494909840691392	-19.9786304014895	-19.1569825732931	-19.5700576575035	-19.0633484534383	-17.9620589036327	-19.6661795210308	-17.8961542934108	-6.87840127056538	-19.4080185362601	-18.4096126936759	-8.31863593688271	-8.51612694055972	-12.074285994689	-18.9633046776506
CSM7KOOV	-1.72235232990527	-18.2834338608467	-2.90799632307237	-18.782078740052	-19.4380342458813	-19.2776077026074	-1.30119468120119	-19.9786304014895	-19.1569825732931	-19.5700576575035	-19.0633484534383	-17.9620589036327	-19.6661795210308	-17.8961542934108	-3.52173833261794	-19.4080185362601	-18.4096126936759	-6.00793176941404	-4.22919012412407	-8.96638878695651	-18.9633046776506
CSM7KOOX	-2.47541130364249	-18.2834338608467	-3.75215224668227	-18.782078740052	-19.4380342458813	-19.2776077026074	-1.87518510363368	-19.9786304014895	-19.1569825732931	-13.5715374978326	-19.0633484534383	-17.9620589036327	-19.6661795210308	-17.8961542934108	-1.5768811937093	-19.4080185362601	-18.4096126936759	-6.01829256338389	-3.17166389358323	-6.4192384908349	-18.9633046776506
